date,ticker_id,action,price,shares,cash_balance,portfolio_value
2024-10-04,NNE,SELL_TP,19.39,132.74916733207277,2574.0063545688913,11568.541965443621
2024-10-04,NOV,BUY,15.95,161.3797087504007,0.0,11568.541965443621
2024-10-08,GLOB,SELL_TP,212.29,11.434832726931837,2427.5006396003596,11637.662455702268
2024-10-08,FTNT,BUY,77.78,31.20983079969606,0.0,11637.662455702268
2024-10-10,ILMN,SELL_TP,143.76,16.442750339092907,2363.809788747996,11907.912554677416
2024-10-10,FTNT,SELL_TP,82.48,31.20983079969606,4937.996633106927,11907.912554677416
2024-10-10,HLT,BUY,235.41,10.488077467199625,2468.9983165534636,11907.912554677416
2024-10-10,JPM,BUY,208.43,11.845695516736859,0.0,11907.912554677416
2024-10-11,LRCX,SELL_MAX_DAYS,82.02,27.385499838817083,2246.158696779777,12128.973892322274
2024-10-11,JPM,SELL_TP,217.68,11.845695516736859,4824.729696863056,12128.973892322274
2024-10-11,BK,BUY,72.1,33.458597065624524,2412.364848431528,12128.973892322272
2024-10-11,AMAT,BUY,202.95,11.886498390891985,0.0,12128.973892322274
2024-10-14,AMAT,SELL_TP,211.69,11.886498390891985,2516.2528443679244,12293.535154904252
2024-10-14,UPS,BUY,124.38,20.23036536716453,0.0,12293.535154904252
2024-10-16,BK,SELL_TP,75.16,33.458597065624524,2514.7481554523392,12265.253721976875
2024-10-16,MANU,BUY,16.52,152.22446461575905,0.0,12265.253721976875
2024-10-17,LHX,SELL_MAX_DAYS,242.47,9.443742887030195,2289.8243378182115,12246.71817117507
2024-10-17,AAPL,BUY,230.85,9.919100445389697,0.0,12246.71817117507
2024-10-18,NOV,SELL_MAX_DAYS,14.86,161.3797087504007,2398.1024720309542,12265.289483042861
2024-10-18,BKNG,BUY,4319.83,0.5551381586847062,0.0,12265.289483042861
2024-10-24,HLT,SELL_MAX_DAYS,234.67,10.488077467199625,2461.237139227736,12119.134967555417
2024-10-24,CART,BUY,43.78,56.21829920575002,0.0,12119.134967555416
2024-10-28,UPS,SELL_MAX_DAYS,125.1,20.23036536716453,2530.8187074322827,12151.352061772386
2024-10-28,T,BUY,21.16,119.60390866882244,0.0,12151.352061772386
2024-10-30,MANU,SELL_MAX_DAYS,15.96,152.22446461575905,2429.5024552675145,12190.377138093423
2024-10-31,AAPL,SELL_MAX_DAYS,224.65,9.919100445389697,4657.8283703243105,12294.390389149543
2024-10-31,BKNG,SELL_TP,4642.95,0.5551381586847062,7235.307084189467,12294.390389149543
2024-11-05,CART,SELL_TP,45.59,56.21829920575002,9798.29934497961,12321.941817891764
2024-11-11,T,SELL_MAX_DAYS,21.35,119.60390866882244,12351.84279505897,12351.84279505897
2024-11-14,BRK-B,BUY,467.7,5.281951163163981,9881.474236047176,12351.842795058968
2024-11-14,PSX,BUY,123.97,19.9271481730402,7411.105677035382,12351.842795058968
2024-11-14,AFRM,BUY,53.21,46.42677239262909,4940.737118023588,12351.842795058968
2024-11-14,MSCI,BUY,596.96,4.13824805516583,2470.368559011794,12351.842795058968
2024-11-14,SNOW,BUY,129.27,19.110145888541762,0.0,12351.842795058968
2024-11-15,AFRM,SELL_TP,56.15,46.42677239262909,2606.8632698461233,12417.013085492083
2024-11-18,JPM,BUY,239.95,10.864193664705661,0.0,12482.074764880253
2024-11-21,SNOW,SELL_TP,171.35,19.110145888541762,3274.5234980016307,13271.493827243336
2024-11-21,CL,BUY,92.02,35.58491086722051,0.0,13271.493827243336
2024-11-26,PSX,SELL_TP,129.39,19.9271481730402,2578.3737021096713,13581.02333918674
2024-11-26,PYPL,BUY,86.94,29.65693239141559,0.0,13581.02333918674
2024-11-29,BRK-B,SELL_MAX_DAYS,483.02,5.281951163163981,2551.288050831466,13629.970280253252
2024-11-29,MSCI,SELL_MAX_DAYS,601.99,4.13824805516583,5042.471997560744,13629.970280253252
2024-11-29,SO,BUY,86.24,29.23511130311192,2521.235998780372,13629.970280253252
2024-11-29,MRK,BUY,98.01,25.724273020920027,0.0,13629.970280253252
2024-12-03,JPM,SELL_MAX_DAYS,239.74,10.864193664705661,2604.5817891765355,13383.542672750798
2024-12-03,ROKU,BUY,75.69,34.4111743846814,4.547473508864641e-13,13383.542672750797
2024-12-04,ROKU,SELL_TP,82.94,34.4111743846814,2854.062803465476,13740.520156713674
2024-12-04,TXG,BUY,15.99,178.49048176769705,0.0,13740.520156713672
2024-12-06,CL,SELL_MAX_DAYS,92.01,35.58491086722051,3274.1676488929593,13728.659892429769
2024-12-06,INSP,BUY,193.03,16.96196264255794,4.547473508864641e-13,13728.659892429769
2024-12-11,PYPL,SELL_TP,90.75,29.65693239141559,2691.3666145209654,13660.55713729939
2024-12-11,ILMN,BUY,147.64,18.229250978874056,0.0,13660.55713729939
2024-12-13,SO,SELL_MAX_DAYS,80.51,29.23511130311192,2353.7188110135407,13227.1309279348
2024-12-13,MRK,SELL_MAX_DAYS,98.36,25.724273020920027,4883.958305351234,13227.1309279348
2024-12-13,TXG,SELL_SL,14.2,178.49048176769705,7418.523146452532,13227.1309279348
2024-12-20,INSP,SELL_MAX_DAYS,187.77,16.96196264255794,10603.470871845637,13083.013589992086
2024-12-26,ILMN,SELL_MAX_DAYS,134.96,18.229250978874056,13063.69058395448,13063.69058395448
2025-01-23,INTC,BUY,21.57,121.12833179373649,10450.952467163585,13063.690583954482
2025-01-23,WSO,BUY,488.01,5.3538618405174,7838.214350372688,13063.690583954482
2025-01-23,OKTA,BUY,88.07,29.66660743489152,5225.476233581792,13063.690583954482
2025-01-23,TRU,BUY,95.61,27.3270381423585,2612.738116790896,13063.690583954482
2025-01-23,MDB,BUY,260.62,10.025086780718656,0.0,13063.690583954482
2025-01-28,OKTA,SELL_TP,94.93,29.66660743489152,2816.2510437942524,13290.941788638063
2025-01-28,MDB,SELL_TP,284.0,10.025086780718656,5663.375689518351,13290.941788638063
2025-01-28,TRV,BUY,245.41,11.538600076440142,2831.6878447591753,13290.941788638063
2025-01-28,TGT,BUY,135.1,20.959939635523135,0.0,13290.941788638063
2025-02-03,INTC,SELL_SL,19.38,121.12833179373649,2347.4670701626133,12951.438475682813
2025-02-03,CMG,BUY,58.36,40.22390456070276,0.0,12951.438475682813
2025-02-06,WSO,SELL_MAX_DAYS,463.75,5.3538618405174,2482.853428539944,12925.07667160319
2025-02-06,TRU,SELL_MAX_DAYS,95.52,27.3270381423585,5093.132111898029,12925.076671603192
2025-02-06,SHOP,BUY,118.58,21.475510675906683,2546.5660559490143,12925.07667160319
2025-02-06,MPWR,BUY,656.57,3.8785903345401316,0.0,12925.076671603192
2025-02-07,MPWR,SELL_TP,715.53,3.8785903345401316,2775.2477420735004,13031.835195386528
2025-02-07,UCB,BUY,33.29,83.36580781236108,0.0,13031.83519538653
2025-02-11,TRV,SELL_MAX_DAYS,239.4,11.538600076440142,2762.34085829977,13146.975221232406
2025-02-11,TGT,SELL_MAX_DAYS,126.85,20.959939635523135,5421.1092010658795,13146.975221232407
2025-02-11,SHOP,SELL_TP,123.59,21.475510675906683,8075.267565501186,13146.975221232406
2025-02-11,BKNG,BUY,4870.5,0.5526651997057924,5383.5117103341245,13146.975221232406
2025-02-11,ZS,BUY,209.24,12.864442052987297,2691.7558551670622,13146.975221232407
2025-02-11,ITW,BUY,253.98,10.598298508414294,0.0,13146.975221232406
2025-02-18,CMG,SELL_MAX_DAYS,54.49,40.22390456070276,2191.800559512694,13265.299982228646
2025-02-18,BKNG,SELL_TP,5113.72,0.5526651997057924,5017.975644552199,13265.299982228644
2025-02-18,DOW,BUY,37.51,66.88850499269793,2508.9878222760995,13265.299982228644
2025-02-18,GLOB,BUY,222.96,11.253084958181285,0.0,13265.299982228644
2025-02-21,GLOB,SELL_SL,151.72,11.253084958181285,1707.3180498552645,12100.848563179878
2025-02-24,UCB,SELL_MAX_DAYS,30.57,83.36580781236108,4255.810794679142,11978.995269202189
2025-02-26,ZS,SELL_MAX_DAYS,195.82,12.864442052987297,6774.925837495115,11948.555495796889
2025-02-26,ITW,SELL_MAX_DAYS,256.66,10.598298508414294,9495.085132664728,11948.555495796889
2025-03-04,DOW,SELL_MAX_DAYS,34.26,66.88850499269793,11786.685313714559,11786.685313714559
2025-04-28,DOW,BUY,28.81,81.82357038330134,9429.348250971647,11786.685313714559
2025-04-28,T,BUY,26.7,88.28977763082067,7072.011188228735,11786.685313714559
2025-04-28,CRM,BUY,264.76,8.903675263419368,4714.6741254858225,11786.685313714557
2025-04-28,SPGI,BUY,477.65,4.935281194897753,2357.337062742911,11786.685313714557
2025-04-28,INSP,BUY,158.11,14.909474813376198,0.0,11786.685313714557
2025-04-30,SPGI,SELL_TP,498.25,4.935281194897753,2459.003855357805,12007.499893150192
2025-04-30,BILL,BUY,45.57,53.961023817375576,0.0,12007.499893150192
2025-05-07,CRM,SELL_TP,277.31,8.903675263419368,2469.078187298825,11977.131795296566
2025-05-07,EBAY,BUY,69.26,35.64941073200729,0.0,11977.131795296566
2025-05-08,BILL,SELL_TP,47.57,53.961023817375576,2566.925902992556,12019.298990836554
2025-05-08,MANU,BUY,14.33,179.1295117231372,0.0,12019.298990836554
2025-05-12,DOW,SELL_MAX_DAYS,29.8,81.82357038330134,2438.34239742238,12172.055354580443
2025-05-12,T,SELL_MAX_DAYS,26.46,88.28977763082067,4774.489913533895,12172.055354580443
2025-05-12,INSP,SELL_MAX_DAYS,156.44,14.909474813376198,7106.928153338467,12172.055354580443
2025-05-12,CELH,BUY,37.32,63.47738614986127,4737.952102225645,12172.055354580443
2025-05-12,CHWY,BUY,39.48,60.00445924804515,2368.9760511128225,12172.055354580443
2025-05-12,XOM,BUY,106.24,22.298343854601114,0.0,12172.055354580443
2025-05-14,CELH,SELL_TP,38.94,63.47738614986127,2471.8094166755977,12316.387445329014
2025-05-14,HD,BUY,368.42,6.7092161573085,0.0,12316.387445329014
2025-05-15,CHWY,SELL_TP,41.47,60.00445924804515,2488.384925016432,12362.232021720618
2025-05-15,XYZ,BUY,57.01,43.64821829532419,0.0,12362.232021720618
2025-05-20,EBAY,SELL_TP,72.07,35.64941073200729,2569.2530314557653,12437.402088409213
2025-05-20,FTNT,BUY,104.79,24.518112715485877,0.0,12437.402088409213
2025-05-22,MANU,SELL_MAX_DAYS,13.29,179.1295117231372,2380.631210800493,12150.854675403025
2025-05-22,PG,BUY,162.77,14.62573699576392,0.0,12150.854675403025
2025-05-27,XOM,SELL_MAX_DAYS,101.68,22.298343854601114,2267.2956031358412,12423.875421550532
2025-05-27,XYZ,SELL_TP,62.15,43.64821829532419,4980.03237019024,12423.875421550532
2025-05-27,AZN,BUY,70.47,70.66882886604569,0.0,12423.875421550532
2025-05-29,HD,SELL_MAX_DAYS,363.95,6.7092161573085,2441.8192204524285,12348.848393078653
2025-05-29,PATH,BUY,12.94,94.35159275318503,1220.9096102262142,12348.848393078655
2025-05-29,WGS,BUY,69.98,17.446550589114235,0.0,12348.848393078655
2025-06-02,WGS,SELL_TP,74.13,17.446550589114235,1293.3127951710383,12452.276602574813
2025-06-02,ABBV,BUY,184.06,7.026582609861123,0.0,12452.276602574813
2025-06-04,FTNT,SELL_MAX_DAYS,101.62,24.518112715485877,2491.530614147675,12536.021722916179
2025-06-04,VRTX,BUY,445.85,5.588270974874228,0.0,12536.021722916179
2025-06-06,PG,SELL_MAX_DAYS,161.77,14.62573699576392,2366.0054738047293,12557.90314805818
2025-06-06,LKNCY,BUY,34.7,68.1845957868798,0.0,12557.90314805818
2025-06-10,AZN,SELL_TP,73.32,70.66882886604569,5181.438532458469,12672.976614514384
2025-06-10,PACB,BUY,1.16,4466.757355567646,0.0,12672.976614514384
2025-06-12,PATH,SELL_MAX_DAYS,12.66,94.35159275318503,1194.4911642553225,12824.482632818726
2025-06-12,MPWR,BUY,715.79,1.6687731936117054,0.0,12824.482632818725
2025-06-16,ABBV,SELL_MAX_DAYS,187.87,7.026582609861123,1320.0840749146091,13585.498734478955
2025-06-16,PACB,SELL_TP,1.38,4466.757355567646,7484.2092255979605,13585.498734478955
2025-06-16,NEE,BUY,73.21,51.11466483812294,3742.1046127989803,13585.498734478955
2025-06-16,PEG,BUY,80.52,46.474225196211876,0.0,13585.498734478955
2025-06-18,VRTX,SELL_MAX_DAYS,448.4,5.588270974874228,2505.7807051336035,13426.009727664468
2025-06-18,PANW,BUY,199.78,12.542700496213852,0.0,13426.009727664468
2025-06-23,LKNCY,SELL_MAX_DAYS,34.82,68.1845957868798,2374.1876252991547,13506.414873852424
2025-06-27,MPWR,SELL_MAX_DAYS,733.18,1.6687731936117054,3597.698755391385,13560.159165037061
2025-06-30,CRM,BUY,272.22,6.608072065592874,1798.8493776956927,13567.253534022493
2025-06-30,TTD,BUY,71.99,24.98748961933175,2.2737367544323206e-13,13567.253534022493
2025-07-01,NEE,SELL_MAX_DAYS,72.5,51.11466483812294,3705.8132007639133,13635.136454047606
2025-07-01,PEG,SELL_MAX_DAYS,82.22,46.474225196211876,7526.923996396454,13635.136454047606
2025-07-01,EXAS,BUY,54.6,68.92787542487595,3763.461998198227,13635.136454047606
2025-07-01,DIS,BUY,123.49,30.475844183320326,0.0,13635.136454047606
